country,continent,income_level,counterpart_area
Albania,Europe,Upper middle income,United States
Albania,Europe,Upper middle income,WB International Development Association
Algeria,Africa,Lower middle income,African Development Bank
Algeria,Africa,Lower middle income,Arab Fund for Economic & Social Development
Algeria,Africa,Lower middle income,Arab Monetary Fund
Algeria,Africa,Lower middle income,Austria
Algeria,Africa,Lower middle income,Bahrain
Algeria,Africa,Lower middle income,Belgium
Algeria,Africa,Lower middle income,Bulgaria
Algeria,Africa,Lower middle income,Canada
Algeria,Africa,Lower middle income,China
Algeria,Africa,Lower middle income,Czechia
Algeria,Africa,Lower middle income,Denmark
Algeria,Africa,Lower middle income,EU Institutions
Algeria,Africa,Lower middle income,European Investment Bank
Algeria,Africa,Lower middle income,Finland
Algeria,Africa,Lower middle income,France
Algeria,Africa,Lower middle income,Germany
Algeria,Africa,Lower middle income,Global Environment Facility
Algeria,Africa,Lower middle income,Greece
Algeria,Africa,Lower middle income,Hungary
Algeria,Africa,Lower middle income,India
Algeria,Africa,Lower middle income,International Fund for Agricultural Development
Algeria,Africa,Lower middle income,Islamic Development Bank
Algeria,Africa,Lower middle income,Italy
Algeria,Africa,Lower middle income,Japan
Algeria,Africa,Lower middle income,Kuwait
Algeria,Africa,Lower middle income,Multiple Lenders
Algeria,Africa,Lower middle income,Netherlands
Algeria,Africa,Lower middle income,Norway
Algeria,Africa,Lower middle income,Poland
Algeria,Africa,Lower middle income,Portugal
Algeria,Africa,Lower middle income,Russia
Algeria,Africa,Lower middle income,Saudi Arabia
Algeria,Africa,Lower middle income,Serbia
Algeria,Africa,Lower middle income,South Africa
Algeria,Africa,Lower middle income,South Korea
Algeria,Africa,Lower middle income,Spain
Algeria,Africa,Lower middle income,Sweden
Algeria,Africa,Lower middle income,Switzerland
Algeria,Africa,Lower middle income,Tunisia
Algeria,Africa,Lower middle income,Türkiye
Algeria,Africa,Lower middle income,UN Development Programme
Algeria,Africa,Lower middle income,UN High Commissioner for Refugees
Algeria,Africa,Lower middle income,UN Population Fund
Algeria,Africa,Lower middle income,UN World Food Programme
Algeria,Africa,Lower middle income,UNICEF
Algeria,Africa,Lower middle income,United Arab Emirates
Algeria,Africa,Lower middle income,United Kingdom
Algeria,Africa,Lower middle income,United States
Algeria,Africa,Lower middle income,WB International Bank for Reconstruction and Development
Angola,Africa,Lower middle income,African Development Bank
Angola,Africa,Lower middle income,Australia
Angola,Africa,Lower middle income,Austria
Angola,Africa,Lower middle income,Belgium
Angola,Africa,Lower middle income,Brazil
Angola,Africa,Lower middle income,Canada
Angola,Africa,Lower middle income,Cuba
Angola,Africa,Lower middle income,Czechia
Angola,Africa,Lower middle income,Denmark
Angola,Africa,Lower middle income,EU Institutions
Angola,Africa,Lower middle income,Finland
Angola,Africa,Lower middle income,France
Angola,Africa,Lower middle income,Germany
Angola,Africa,Lower middle income,India
Angola,Africa,Lower middle income,Ireland
Angola,Africa,Lower middle income,Israel
Angola,Africa,Lower middle income,Italy
Angola,Africa,Lower middle income,Japan
Angola,Africa,Lower middle income,Kuwait
Angola,Africa,Lower middle income,Luxembourg
Angola,Africa,Lower middle income,Multiple Lenders
Angola,Africa,Lower middle income,Netherlands
Angola,Africa,Lower middle income,Norway
Angola,Africa,Lower middle income,OPEC Fund for International Development
Angola,Africa,Lower middle income,Poland
Angola,Africa,Lower middle income,Portugal
Angola,Africa,Lower middle income,Russia
Angola,Africa,Lower middle income,Serbia
Angola,Africa,Lower middle income,South Africa
Angola,Africa,Lower middle income,South Korea
Angola,Africa,Lower middle income,Spain
Angola,Africa,Lower middle income,Sweden
Angola,Africa,Lower middle income,Switzerland
Angola,Africa,Lower middle income,UN Development Programme
Angola,Africa,Lower middle income,UN High Commissioner for Refugees
Angola,Africa,Lower middle income,UN Population Fund
Angola,Africa,Lower middle income,UN World Food Programme
Angola,Africa,Lower middle income,UNICEF
Angola,Africa,Lower middle income,United Kingdom
Angola,Africa,Lower middle income,United States
Angola,Africa,Lower middle income,WB International Development Association
Anguilla,America,,Canada
Anguilla,America,,Caribbean Development Bank
Anguilla,America,,UN Development Programme
Anguilla,America,,United Kingdom
Antigua and Barbuda,America,High income,Australia
Antigua and Barbuda,America,High income,Canada
Antigua and Barbuda,America,High income,Caribbean Development Bank
Antigua and Barbuda,America,High income,EU Institutions
Antigua and Barbuda,America,High income,France
Antigua and Barbuda,America,High income,Global Environment Facility
Antigua and Barbuda,America,High income,Japan
Antigua and Barbuda,America,High income,UN Development Programme
Antigua and Barbuda,America,High income,United Kingdom
Antigua and Barbuda,America,High income,United States
Argentina,America,Upper middle income,Australia
Argentina,America,Upper middle income,Austria
Argentina,America,Upper middle income,Belgium
Argentina,America,Upper middle income,Bondholders
Argentina,America,Upper middle income,Brazil
Argentina,America,Upper middle income,Canada
Argentina,America,Upper middle income,Czechia
Argentina,America,Upper middle income,Denmark
Argentina,America,Upper middle income,EU Institutions
Argentina,America,Upper middle income,Finland
Argentina,America,Upper middle income,France
Argentina,America,Upper middle income,Germany
Argentina,America,Upper middle income,Global Environment Facility
Argentina,America,Upper middle income,Inter-American Development Bank
Argentina,America,Upper middle income,Ireland
Argentina,America,Upper middle income,Israel
Argentina,America,Upper middle income,Italy
Argentina,America,Upper middle income,Japan
Argentina,America,Upper middle income,Kuwait
Argentina,America,Upper middle income,Luxembourg
Argentina,America,Upper middle income,Montreal Protocol Fund
Argentina,America,Upper middle income,Multiple Lenders
Argentina,America,Upper middle income,Netherlands
Argentina,America,Upper middle income,New Zealand
Argentina,America,Upper middle income,Norway
Argentina,America,Upper middle income,Poland
Argentina,America,Upper middle income,Russia
Argentina,America,Upper middle income,Spain
Argentina,America,Upper middle income,Sweden
Argentina,America,Upper middle income,Switzerland
Argentina,America,Upper middle income,UN Development Programme
Argentina,America,Upper middle income,UN High Commissioner for Refugees
Argentina,America,Upper middle income,UNICEF
Argentina,America,Upper middle income,United Arab Emirates
Argentina,America,Upper middle income,United Kingdom
Argentina,America,Upper middle income,United States
Argentina,America,Upper middle income,WB International Bank for Reconstruction and Development
Armenia,Asia,Upper middle income,Austria
Armenia,Asia,Upper middle income,Canada
Armenia,Asia,Upper middle income,Czechia
Armenia,Asia,Upper middle income,Denmark
Armenia,Asia,Upper middle income,EU Institutions
Armenia,Asia,Upper middle income,European Bank for Reconstruction and Development
Armenia,Asia,Upper middle income,European Investment Bank
Armenia,Asia,Upper middle income,Finland
Armenia,Asia,Upper middle income,France
Armenia,Asia,Upper middle income,Germany
Armenia,Asia,Upper middle income,Greece
Armenia,Asia,Upper middle income,International Fund for Agricultural Development
Armenia,Asia,Upper middle income,Israel
Armenia,Asia,Upper middle income,Italy
Armenia,Asia,Upper middle income,Japan
Armenia,Asia,Upper middle income,Luxembourg
Armenia,Asia,Upper middle income,Netherlands
Armenia,Asia,Upper middle income,Norway
Armenia,Asia,Upper middle income,Poland
Armenia,Asia,Upper middle income,Russia
Armenia,Asia,Upper middle income,South Korea
Armenia,Asia,Upper middle income,Spain
Armenia,Asia,Upper middle income,Sweden
Armenia,Asia,Upper middle income,Switzerland
Armenia,Asia,Upper middle income,Turkmenistan
Armenia,Asia,Upper middle income,UN Development Programme
Armenia,Asia,Upper middle income,UN High Commissioner for Refugees
Armenia,Asia,Upper middle income,UN Population Fund
Armenia,Asia,Upper middle income,UN World Food Programme
Armenia,Asia,Upper middle income,UNICEF
Armenia,Asia,Upper middle income,United Kingdom
Armenia,Asia,Upper middle income,United States
Armenia,Asia,Upper middle income,WB International Bank for Reconstruction and Development
Armenia,Asia,Upper middle income,WB International Development Association
Aruba,America,High income,Belgium
Aruba,America,High income,EU Institutions
Aruba,America,High income,Netherlands
Aruba,America,High income,United States
Azerbaijan,Asia,Upper middle income,Austria
Azerbaijan,Asia,Upper middle income,Canada
Azerbaijan,Asia,Upper middle income,EU Institutions
Azerbaijan,Asia,Upper middle income,European Bank for Reconstruction and Development
Azerbaijan,Asia,Upper middle income,Finland
Azerbaijan,Asia,Upper middle income,France
Azerbaijan,Asia,Upper middle income,Germany
Azerbaijan,Asia,Upper middle income,Global Environment Facility
Azerbaijan,Asia,Upper middle income,Greece
Azerbaijan,Asia,Upper middle income,International Fund for Agricultural Development
Azerbaijan,Asia,Upper middle income,Islamic Development Bank
Azerbaijan,Asia,Upper middle income,Israel
Azerbaijan,Asia,Upper middle income,Italy
Azerbaijan,Asia,Upper middle income,Japan
Azerbaijan,Asia,Upper middle income,Kuwait
Azerbaijan,Asia,Upper middle income,Netherlands
Azerbaijan,Asia,Upper middle income,Norway
Azerbaijan,Asia,Upper middle income,Poland
Azerbaijan,Asia,Upper middle income,South Korea
Azerbaijan,Asia,Upper middle income,Sweden
Azerbaijan,Asia,Upper middle income,Switzerland
Azerbaijan,Asia,Upper middle income,Türkiye
Azerbaijan,Asia,Upper middle income,UN Development Programme
Azerbaijan,Asia,Upper middle income,UN High Commissioner for Refugees
Azerbaijan,Asia,Upper middle income,UN Population Fund
Azerbaijan,Asia,Upper middle income,UN World Food Programme
Azerbaijan,Asia,Upper middle income,UNICEF
Azerbaijan,Asia,Upper middle income,United Kingdom
Azerbaijan,Asia,Upper middle income,United States
Azerbaijan,Asia,Upper middle income,WB International Development Association
Bahamas,America,High income,Canada
Bahamas,America,High income,Caribbean Development Bank
Bahamas,America,High income,EU Institutions
Bahamas,America,High income,France
Bahamas,America,High income,South Korea
Bahamas,America,High income,United States
Bahrain,Asia,High income,France
Bahrain,Asia,High income,Germany
Bahrain,Asia,High income,Japan
Bahrain,Asia,High income,Kuwait
Bahrain,Asia,High income,UN Development Programme
Bahrain,Asia,High income,United Arab Emirates
Bangladesh,Asia,Lower middle income,Asian Development Bank
Bangladesh,Asia,Lower middle income,Australia
Bangladesh,Asia,Lower middle income,Austria
Bangladesh,Asia,Lower middle income,Belgium
Bangladesh,Asia,Lower middle income,Canada
Bangladesh,Asia,Lower middle income,China
Bangladesh,Asia,Lower middle income,Czechia
Bangladesh,Asia,Lower middle income,Denmark
Bangladesh,Asia,Lower middle income,EU Institutions
Bangladesh,Asia,Lower middle income,European Economic Community
Bangladesh,Asia,Lower middle income,Finland
Bangladesh,Asia,Lower middle income,France
Bangladesh,Asia,Lower middle income,Germany
Bangladesh,Asia,Lower middle income,Global Environment Facility
Bangladesh,Asia,Lower middle income,Greece
Bangladesh,Asia,Lower middle income,India
Bangladesh,Asia,Lower middle income,International Fund for Agricultural Development
Bangladesh,Asia,Lower middle income,Iran
Bangladesh,Asia,Lower middle income,Ireland
Bangladesh,Asia,Lower middle income,Islamic Development Bank
Bangladesh,Asia,Lower middle income,Italy
Bangladesh,Asia,Lower middle income,Japan
Bangladesh,Asia,Lower middle income,Kuwait
Bangladesh,Asia,Lower middle income,Luxembourg
Bangladesh,Asia,Lower middle income,Netherlands
Bangladesh,Asia,Lower middle income,New Zealand
Bangladesh,Asia,Lower middle income,Nordic Development Fund
Bangladesh,Asia,Lower middle income,Norway
Bangladesh,Asia,Lower middle income,OPEC Fund for International Development
Bangladesh,Asia,Lower middle income,Pakistan
Bangladesh,Asia,Lower middle income,Poland
Bangladesh,Asia,Lower middle income,Romania
Bangladesh,Asia,Lower middle income,Russia
Bangladesh,Asia,Lower middle income,Saudi Arabia
Bangladesh,Asia,Lower middle income,South Korea
Bangladesh,Asia,Lower middle income,Spain
Bangladesh,Asia,Lower middle income,Sweden
Bangladesh,Asia,Lower middle income,Switzerland
Bangladesh,Asia,Lower middle income,UN Development Programme
Bangladesh,Asia,Lower middle income,UN High Commissioner for Refugees
Bangladesh,Asia,Lower middle income,UN Population Fund
Bangladesh,Asia,Lower middle income,UN World Food Programme
Bangladesh,Asia,Lower middle income,UNICEF
Bangladesh,Asia,Lower middle income,United Arab Emirates
Bangladesh,Asia,Lower middle income,United Kingdom
Bangladesh,Asia,Lower middle income,United States
Bangladesh,Asia,Lower middle income,WB International Bank for Reconstruction and Development
Bangladesh,Asia,Lower middle income,WB International Development Association
Barbados,America,High income,Australia
Barbados,America,High income,Canada
Barbados,America,High income,Caribbean Development Bank
Barbados,America,High income,EU Institutions
Barbados,America,High income,France
Barbados,America,High income,Germany
Barbados,America,High income,Israel
Barbados,America,High income,Japan
Barbados,America,High income,New Zealand
Barbados,America,High income,Norway
Barbados,America,High income,Spain
Barbados,America,High income,UN Development Programme
Barbados,America,High income,United Kingdom
Barbados,America,High income,United States
Belarus,Europe,Upper middle income,Austria
Belarus,Europe,Upper middle income,Belgium
Belarus,Europe,Upper middle income,Canada
Belarus,Europe,Upper middle income,China
Belarus,Europe,Upper middle income,Czechia
Belarus,Europe,Upper middle income,Denmark
Belarus,Europe,Upper middle income,EU Institutions
Belarus,Europe,Upper middle income,Estonia
Belarus,Europe,Upper middle income,European Bank for Reconstruction and Development
Belarus,Europe,Upper middle income,European Investment Bank
Belarus,Europe,Upper middle income,France
Belarus,Europe,Upper middle income,Germany
Belarus,Europe,Upper middle income,Global Environment Facility
Belarus,Europe,Upper middle income,Greece
Belarus,Europe,Upper middle income,Israel
Belarus,Europe,Upper middle income,Italy
Belarus,Europe,Upper middle income,Japan
Belarus,Europe,Upper middle income,Luxembourg
Belarus,Europe,Upper middle income,Norway
Belarus,Europe,Upper middle income,Poland
Belarus,Europe,Upper middle income,Russia
Belarus,Europe,Upper middle income,South Korea
Belarus,Europe,Upper middle income,Spain
Belarus,Europe,Upper middle income,Sweden
Belarus,Europe,Upper middle income,Switzerland
Belarus,Europe,Upper middle income,Türkiye
Belarus,Europe,Upper middle income,UN Development Programme
Belarus,Europe,Upper middle income,UN High Commissioner for Refugees
Belarus,Europe,Upper middle income,UN Population Fund
Belarus,Europe,Upper middle income,United Kingdom
Belarus,Europe,Upper middle income,United States
Belarus,Europe,Upper middle income,WB International Bank for Reconstruction and Development
Belize,America,Upper middle income,Bondholders
Belize,America,Upper middle income,Canada
Belize,America,Upper middle income,Caribbean Development Bank
Belize,America,Upper middle income,Cayman Islands
Belize,America,Upper middle income,China
Belize,America,Upper middle income,EU Institutions
Belize,America,Upper middle income,European Development Fund
Belize,America,Upper middle income,European Investment Bank
Belize,America,Upper middle income,European Relief Fund
Belize,America,Upper middle income,Germany
Belize,America,Upper middle income,Global Environment Facility
Belize,America,Upper middle income,Inter-American Development Bank
Belize,America,Upper middle income,International Fund for Agricultural Development
Belize,America,Upper middle income,Ireland
Belize,America,Upper middle income,Israel
Belize,America,Upper middle income,Italy
Belize,America,Upper middle income,Japan
Belize,America,Upper middle income,Kuwait
Belize,America,Upper middle income,Mexico
Belize,America,Upper middle income,Multiple Lenders
Belize,America,Upper middle income,Netherlands
Belize,America,Upper middle income,Norway
Belize,America,Upper middle income,OPEC Fund for International Development
Belize,America,Upper middle income,South Korea
Belize,America,Upper middle income,Spain
Belize,America,Upper middle income,Switzerland
Belize,America,Upper middle income,Trinidad and Tobago
Belize,America,Upper middle income,UN Development Programme
Belize,America,Upper middle income,UN Population Fund
Belize,America,Upper middle income,UN World Food Programme
Belize,America,Upper middle income,UNICEF
Belize,America,Upper middle income,United Kingdom
Belize,America,Upper middle income,United States
Belize,America,Upper middle income,Venezuela
Belize,America,Upper middle income,WB International Bank for Reconstruction and Development
Benin,Africa,Lower middle income,African Development Bank
Benin,Africa,Lower middle income,African Development Fund
Benin,Africa,Lower middle income,Arab Bank for Economic Development in Africa
Benin,Africa,Lower middle income,Austria
Benin,Africa,Lower middle income,Belgium
Benin,Africa,Lower middle income,Canada
Benin,Africa,Lower middle income,China
Benin,Africa,Lower middle income,DR Congo
Benin,Africa,Lower middle income,Denmark
Benin,Africa,Lower middle income,EU Institutions
Benin,Africa,Lower middle income,Economic Community of West African States
Benin,Africa,Lower middle income,European Development Fund
Benin,Africa,Lower middle income,Finland
Benin,Africa,Lower middle income,France
Benin,Africa,Lower middle income,Germany
Benin,Africa,Lower middle income,Global Environment Facility
Benin,Africa,Lower middle income,International Fund for Agricultural Development
Benin,Africa,Lower middle income,International Monetary Fund
Benin,Africa,Lower middle income,Ireland
Benin,Africa,Lower middle income,Islamic Development Bank
Benin,Africa,Lower middle income,Israel
Benin,Africa,Lower middle income,Italy
Benin,Africa,Lower middle income,Japan
Benin,Africa,Lower middle income,Kuwait
Benin,Africa,Lower middle income,Luxembourg
Benin,Africa,Lower middle income,Netherlands
Benin,Africa,Lower middle income,Nordic Development Fund
Benin,Africa,Lower middle income,North Korea
Benin,Africa,Lower middle income,Norway
Benin,Africa,Lower middle income,OPEC Fund for International Development
Benin,Africa,Lower middle income,Russia
Benin,Africa,Lower middle income,South Korea
Benin,Africa,Lower middle income,Spain
Benin,Africa,Lower middle income,Sweden
Benin,Africa,Lower middle income,Switzerland
Benin,Africa,Lower middle income,UN Development Programme
Benin,Africa,Lower middle income,UN High Commissioner for Refugees
Benin,Africa,Lower middle income,UN Population Fund
Benin,Africa,Lower middle income,UN World Food Programme
Benin,Africa,Lower middle income,UNICEF
Benin,Africa,Lower middle income,United Kingdom
Benin,Africa,Lower middle income,United States
Benin,Africa,Lower middle income,WB International Development Association
Benin,Africa,Lower middle income,West African Development Bank
Bermuda,America,High income,Canada
Bermuda,America,High income,Germany
Bermuda,America,High income,United Kingdom
Bhutan,Asia,Lower middle income,Asian Development Bank
Bhutan,Asia,Lower middle income,Australia
Bhutan,Asia,Lower middle income,Austria
Bhutan,Asia,Lower middle income,Canada
Bhutan,Asia,Lower middle income,Denmark
Bhutan,Asia,Lower middle income,EU Institutions
Bhutan,Asia,Lower middle income,France
Bhutan,Asia,Lower middle income,Germany
Bhutan,Asia,Lower middle income,Global Environment Facility
Bhutan,Asia,Lower middle income,India
Bhutan,Asia,Lower middle income,International Fund for Agricultural Development
Bhutan,Asia,Lower middle income,Ireland
Bhutan,Asia,Lower middle income,Israel
Bhutan,Asia,Lower middle income,Italy
Bhutan,Asia,Lower middle income,Japan
Bhutan,Asia,Lower middle income,Kuwait
Bhutan,Asia,Lower middle income,Netherlands
Bhutan,Asia,Lower middle income,New Zealand
Bhutan,Asia,Lower middle income,Norway
Bhutan,Asia,Lower middle income,South Korea
Bhutan,Asia,Lower middle income,Sweden
Bhutan,Asia,Lower middle income,Switzerland
Bhutan,Asia,Lower middle income,UN Development Programme
Bhutan,Asia,Lower middle income,UN Population Fund
Bhutan,Asia,Lower middle income,UN World Food Programme
Bhutan,Asia,Lower middle income,UNICEF
Bhutan,Asia,Lower middle income,United Kingdom
Bhutan,Asia,Lower middle income,WB International Development Association
Bolivia,America,Lower middle income,Austria
Bolivia,America,Lower middle income,Belgium
Bolivia,America,Lower middle income,Canada
Bolivia,America,Lower middle income,China
Bolivia,America,Lower middle income,Corporacion Andina de Fomento
Bolivia,America,Lower middle income,Denmark
Bolivia,America,Lower middle income,EU Institutions
Bolivia,America,Lower middle income,Finland
Bolivia,America,Lower middle income,France
Bolivia,America,Lower middle income,Germany
Bolivia,America,Lower middle income,Global Environment Facility
Bolivia,America,Lower middle income,Inter-American Development Bank
Bolivia,America,Lower middle income,International Fund for Agricultural Development
Bolivia,America,Lower middle income,International Monetary Fund
Bolivia,America,Lower middle income,Ireland
Bolivia,America,Lower middle income,Israel
Bolivia,America,Lower middle income,Italy
Bolivia,America,Lower middle income,Japan
Bolivia,America,Lower middle income,Luxembourg
Bolivia,America,Lower middle income,Netherlands
Bolivia,America,Lower middle income,Nordic Development Fund
Bolivia,America,Lower middle income,Norway
Bolivia,America,Lower middle income,OPEC Fund for International Development
Bolivia,America,Lower middle income,Plata Basin Financial Development Fund
Bolivia,America,Lower middle income,South Korea
Bolivia,America,Lower middle income,Spain
Bolivia,America,Lower middle income,Sweden
Bolivia,America,Lower middle income,Switzerland
Bolivia,America,Lower middle income,UN Development Programme
Bolivia,America,Lower middle income,UN Population Fund
Bolivia,America,Lower middle income,UN World Food Programme
Bolivia,America,Lower middle income,UNICEF
Bolivia,America,Lower middle income,United Kingdom
Bolivia,America,Lower middle income,United States
Bolivia,America,Lower middle income,Venezuela
Bolivia,America,Lower middle income,WB International Bank for Reconstruction and Development
Bolivia,America,Lower middle income,WB International Development Association
Bosnia and Herzegovina,Europe,Upper middle income,Austria
Bosnia and Herzegovina,Europe,Upper middle income,Belgium
Bosnia and Herzegovina,Europe,Upper middle income,Canada
Bosnia and Herzegovina,Europe,Upper middle income,Czechia
Bosnia and Herzegovina,Europe,Upper middle income,Denmark
Bosnia and Herzegovina,Europe,Upper middle income,EU Institutions
Bosnia and Herzegovina,Europe,Upper middle income,EUROFIMA
Bosnia and Herzegovina,Europe,Upper middle income,Estonia
Bosnia and Herzegovina,Europe,Upper middle income,European Bank for Reconstruction and Development
Bosnia and Herzegovina,Europe,Upper middle income,European Development Fund
Bosnia and Herzegovina,Europe,Upper middle income,European Investment Bank
Bosnia and Herzegovina,Europe,Upper middle income,Finland
Bosnia and Herzegovina,Europe,Upper middle income,France
Bosnia and Herzegovina,Europe,Upper middle income,Germany
Bosnia and Herzegovina,Europe,Upper middle income,Greece
Bosnia and Herzegovina,Europe,Upper middle income,Iceland
Bosnia and Herzegovina,Europe,Upper middle income,International Fund for Agricultural Development
Bosnia and Herzegovina,Europe,Upper middle income,Ireland
Bosnia and Herzegovina,Europe,Upper middle income,Israel
Bosnia and Herzegovina,Europe,Upper middle income,Italy
Bosnia and Herzegovina,Europe,Upper middle income,Japan
Bosnia and Herzegovina,Europe,Upper middle income,Kuwait
Bosnia and Herzegovina,Europe,Upper middle income,Luxembourg
Bosnia and Herzegovina,Europe,Upper middle income,Multiple Lenders
Bosnia and Herzegovina,Europe,Upper middle income,Netherlands
Bosnia and Herzegovina,Europe,Upper middle income,Norway
Bosnia and Herzegovina,Europe,Upper middle income,Poland
Bosnia and Herzegovina,Europe,Upper middle income,Portugal
Bosnia and Herzegovina,Europe,Upper middle income,Saudi Arabia
Bosnia and Herzegovina,Europe,Upper middle income,South Korea
Bosnia and Herzegovina,Europe,Upper middle income,Spain
Bosnia and Herzegovina,Europe,Upper middle income,Sweden
Bosnia and Herzegovina,Europe,Upper middle income,Switzerland
Bosnia and Herzegovina,Europe,Upper middle income,Türkiye
Bosnia and Herzegovina,Europe,Upper middle income,UN Development Programme
Bosnia and Herzegovina,Europe,Upper middle income,UN High Commissioner for Refugees
Bosnia and Herzegovina,Europe,Upper middle income,UN Population Fund
Bosnia and Herzegovina,Europe,Upper middle income,UNICEF
Bosnia and Herzegovina,Europe,Upper middle income,United Arab Emirates
Bosnia and Herzegovina,Europe,Upper middle income,United Kingdom
Bosnia and Herzegovina,Europe,Upper middle income,United States
Bosnia and Herzegovina,Europe,Upper middle income,WB International Bank for Reconstruction and Development
Bosnia and Herzegovina,Europe,Upper middle income,WB International Development Association
Botswana,Africa,Upper middle income,African Development Bank
Botswana,Africa,Upper middle income,Arab African International Bank
Botswana,Africa,Upper middle income,Arab Bank for Economic Development in Africa
Botswana,Africa,Upper middle income,Australia
Botswana,Africa,Upper middle income,Belgium
Botswana,Africa,Upper middle income,Canada
Botswana,Africa,Upper middle income,China
Botswana,Africa,Upper middle income,Denmark
Botswana,Africa,Upper middle income,EU Institutions
Botswana,Africa,Upper middle income,European Development Fund
Botswana,Africa,Upper middle income,European Investment Bank
Botswana,Africa,Upper middle income,Finland
Botswana,Africa,Upper middle income,France
Botswana,Africa,Upper middle income,Germany
Botswana,Africa,Upper middle income,International Fund for Agricultural Development
Botswana,Africa,Upper middle income,Ireland
Botswana,Africa,Upper middle income,Israel
Botswana,Africa,Upper middle income,Italy
Botswana,Africa,Upper middle income,Japan
Botswana,Africa,Upper middle income,Kuwait
Botswana,Africa,Upper middle income,Netherlands
Botswana,Africa,Upper middle income,New Zealand
Botswana,Africa,Upper middle income,Nordic Development Fund
Botswana,Africa,Upper middle income,Nordic Investment Bank
Botswana,Africa,Upper middle income,Norway
Botswana,Africa,Upper middle income,OPEC Fund for International Development
Botswana,Africa,Upper middle income,Saudi Arabia
Botswana,Africa,Upper middle income,South Korea
Botswana,Africa,Upper middle income,Sweden
Botswana,Africa,Upper middle income,UN Development Programme
Botswana,Africa,Upper middle income,UN High Commissioner for Refugees
Botswana,Africa,Upper middle income,UN Population Fund
Botswana,Africa,Upper middle income,UNICEF
Botswana,Africa,Upper middle income,United Kingdom
Botswana,Africa,Upper middle income,United States
Botswana,Africa,Upper middle income,WB International Bank for Reconstruction and Development
Botswana,Africa,Upper middle income,WB International Development Association
Brazil,America,Upper middle income,Argentina
Brazil,America,Upper middle income,Australia
Brazil,America,Upper middle income,Austria
Brazil,America,Upper middle income,Bahamas
Brazil,America,Upper middle income,Bank for International Settlements
Brazil,America,Upper middle income,Belgium
Brazil,America,Upper middle income,Bondholders
Brazil,America,Upper middle income,Canada
Brazil,America,Upper middle income,Cayman Islands
Brazil,America,Upper middle income,Chile
Brazil,America,Upper middle income,Corporacion Andina de Fomento
Brazil,America,Upper middle income,Denmark
Brazil,America,Upper middle income,EU Institutions
Brazil,America,Upper middle income,Finland
Brazil,America,Upper middle income,France
Brazil,America,Upper middle income,Germany
Brazil,America,Upper middle income,Global Environment Facility
Brazil,America,Upper middle income,Hungary
Brazil,America,Upper middle income,Inter-American Development Bank
