year,country,counterpart_type,value,percent
2018-2022,Africa,Private,32069448356.420002,53.3
2018-2022,Africa,China,7993859756.08,13.3
2023-2025 (projected),Africa,Bilateral,8647065281.666666,10.6
2023-2025 (projected),Africa,Multilateral,20213465814.733334,24.7
2023-2025 (projected),Africa,Private,36204835442.93333,44.3
2023-2025 (projected),Africa,China,16657179618.133333,20.4
2010-2014,Europe,Bilateral,1115959856.1399999,22.1
2010-2014,Europe,Multilateral,1554472442.74,30.7
2010-2014,Europe,Private,2157943109.66,42.7
2010-2014,Europe,China,226966280.51999998,4.5
2018-2022,Europe,Bilateral,2069996924.0199997,22.3
2018-2022,Europe,Multilateral,2470993678.38,26.7
2018-2022,Europe,Private,3684776732.7,39.8
2018-2022,Europe,China,1040149671.3,11.2
2023-2025 (projected),Europe,Bilateral,2670246819.066667,24.0
2023-2025 (projected),Europe,Multilateral,3360742028.866667,30.2
2023-2025 (projected),Europe,Private,3637060730.7999997,32.7
2023-2025 (projected),Europe,China,1463489911.3333333,13.1
2010-2014,Asia,Bilateral,13508510373.76,22.2
2010-2014,Asia,Multilateral,12829693715.16,21.1
2010-2014,Asia,Private,32932344752.119995,54.0
2010-2014,Asia,China,1664622575.0,2.7
2018-2022,Asia,Bilateral,14775615972.86,12.9
2018-2022,Asia,Multilateral,22243723881.78,19.4
2018-2022,Asia,Private,71117356891.34,61.9
2018-2022,Asia,China,6797402125.68,5.9
2023-2025 (projected),Asia,Bilateral,19571497228.333332,13.2
2023-2025 (projected),Asia,Multilateral,39296179058.5,26.6
2023-2025 (projected),Asia,Private,77322921946.63335,52.3
2023-2025 (projected),Asia,China,11688059619.166666,7.9
2010-2014,America,Bilateral,3303809269.54,5.2
2010-2014,America,Multilateral,13949440601.52,21.9
2010-2014,America,Private,45429187770.44,71.3
2010-2014,America,China,1006828619.1,1.6
2018-2022,America,Bilateral,3533867480.94,3.1
2018-2022,America,Multilateral,15882967665.179998,13.8
2018-2022,America,Private,91188427602.12,79.5
2018-2022,America,China,4147193579.12,3.6
2023-2025 (projected),America,Bilateral,3216016157.7666664,3.2
2023-2025 (projected),America,Multilateral,25731002903.733334,25.4
2023-2025 (projected),America,Private,68845700308.16667,68.1
2023-2025 (projected),America,China,3339274973.366667,3.3
2010-2014,Oceania,Bilateral,37193936.56,18.8
2010-2014,Oceania,Multilateral,87487510.84,44.3
2010-2014,Oceania,Private,57859513.32000001,29.3
2010-2014,Oceania,China,14910572.720000003,7.6
2018-2022,Oceania,Bilateral,122161675.38,17.4
2018-2022,Oceania,Multilateral,166700452.84,23.7
2018-2022,Oceania,Private,320392347.34000003,45.6
2018-2022,Oceania,China,93994834.0,13.4
2023-2025 (projected),Oceania,Bilateral,176702415.5666667,20.0
2023-2025 (projected),Oceania,Multilateral,455834072.8666666,51.6
2023-2025 (projected),Oceania,Private,56138530.666666664,6.4
2023-2025 (projected),Oceania,China,194479483.36666667,22.0
2010-2014,Afghanistan,Bilateral,1983333.3,14.3
2010-2014,Afghanistan,Multilateral,11856375.48,85.7
2018-2022,Afghanistan,Bilateral,2832255.9000000004,10.8
2018-2022,Afghanistan,Multilateral,23381947.34,89.2
2023-2025 (projected),Afghanistan,Bilateral,67168610.8,54.3
2023-2025 (projected),Afghanistan,Multilateral,56452215.06666666,45.7
2010-2014,Albania,Bilateral,50863047.22,19.9
2010-2014,Albania,Multilateral,93757561.7,36.7
2010-2014,Albania,Private,107455540.26000002,42.0
2010-2014,Albania,China,3739800.0,1.5
2018-2022,Albania,Bilateral,70461438.1,13.8
2018-2022,Albania,Multilateral,211364842.76,41.5
2018-2022,Albania,Private,227705775.32,44.7
2023-2025 (projected),Albania,Bilateral,99926157.53333335,12.9
2023-2025 (projected),Albania,Multilateral,339819235.8666667,43.9
2023-2025 (projected),Albania,Private,333591662.93333334,43.1
2010-2014,Algeria,Bilateral,275222306.64,66.5
2010-2014,Algeria,Multilateral,2642452.12,0.6
2010-2014,Algeria,Private,134534160.5,32.5
2010-2014,Algeria,China,1342919.4,0.3
2018-2022,Algeria,Bilateral,79276432.38000001,65.0
2018-2022,Algeria,Multilateral,35982246.48,29.5
2018-2022,Algeria,Private,6723057.180000002,5.5
2023-2025 (projected),Algeria,Bilateral,22669800.46666667,24.5
2023-2025 (projected),Algeria,Multilateral,69685887.8,75.5
2010-2014,Angola,Bilateral,397797548.62,9.3
2010-2014,Angola,Multilateral,20689885.64,0.5
2010-2014,Angola,Private,2898675992.1,67.7
2010-2014,Angola,China,962783200.0,22.5
2018-2022,Angola,Bilateral,527418833.28000003,6.0
2018-2022,Angola,Multilateral,172065588.88,2.0
2018-2022,Angola,Private,5132425140.32,58.6
2018-2022,Angola,China,2930848600.0,33.4
2023-2025 (projected),Angola,Bilateral,279211636.96666664,2.4
2023-2025 (projected),Angola,Multilateral,468745230.7,4.0
2023-2025 (projected),Angola,Private,4681198966.766666,39.9
2023-2025 (projected),Angola,China,6303199331.299999,53.7
2010-2014,Argentina,Bilateral,401462315.7,5.0
2010-2014,Argentina,Multilateral,2248127127.06,27.9
2010-2014,Argentina,Private,5292602083.38,65.7
2010-2014,Argentina,China,118687250.0,1.5
2018-2022,Argentina,Bilateral,726922693.86,4.6
2018-2022,Argentina,Multilateral,2570514908.3,16.2
2018-2022,Argentina,Private,12152722364.64,76.5
2018-2022,Argentina,China,431212200.0,2.7
2023-2025 (projected),Argentina,Bilateral,460256366.7,3.0
2023-2025 (projected),Argentina,Multilateral,3736065158.7333336,24.4
2023-2025 (projected),Argentina,Private,9960996429.666666,65.1
2023-2025 (projected),Argentina,China,1144610757.1,7.5
2010-2014,Armenia,Bilateral,130040663.53999999,73.0
2010-2014,Armenia,Multilateral,39553106.980000004,22.2
2010-2014,Armenia,Private,8521143.42,4.8
2018-2022,Armenia,Bilateral,95047597.97999999,20.3
2018-2022,Armenia,Multilateral,198015312.4,42.2
2018-2022,Armenia,Private,174737240.7,37.3
2018-2022,Armenia,China,1233886.3199999998,0.3
2023-2025 (projected),Armenia,Bilateral,158558504.29999998,21.9
2023-2025 (projected),Armenia,Multilateral,316938511.59999996,43.7
2023-2025 (projected),Armenia,Private,247643037.76666665,34.2
2023-2025 (projected),Armenia,China,1816963.4000000001,0.3
2010-2014,Azerbaijan,Bilateral,108068201.24000001,21.2
2010-2014,Azerbaijan,Multilateral,176201645.02,34.5
2010-2014,Azerbaijan,Private,225840426.6,44.3
2018-2022,Azerbaijan,Bilateral,172028775.9,10.5
2018-2022,Azerbaijan,Multilateral,824300763.0600001,50.1
2018-2022,Azerbaijan,Private,648718820.6,39.4
2023-2025 (projected),Azerbaijan,Bilateral,91910476.73333333,4.3
2023-2025 (projected),Azerbaijan,Multilateral,895083376.8000001,41.6
2023-2025 (projected),Azerbaijan,Private,1162371768.3333333,54.1
2010-2014,Bangladesh,Bilateral,402208543.7,30.7
2010-2014,Bangladesh,Multilateral,849730010.98,64.9
2010-2014,Bangladesh,Private,42463812.86,3.2
2010-2014,Bangladesh,China,13997823.26,1.1
2018-2022,Bangladesh,Bilateral,360421493.0,15.3
2018-2022,Bangladesh,Multilateral,1403167685.26,59.4
2018-2022,Bangladesh,Private,434483524.38,18.4
2018-2022,Bangladesh,China,163825849.98,6.9
2023-2025 (projected),Bangladesh,Bilateral,1673156096.8333333,28.8
2023-2025 (projected),Bangladesh,Multilateral,2869339267.5,49.4
2023-2025 (projected),Bangladesh,Private,682520869.7666667,11.7
2023-2025 (projected),Bangladesh,China,583908740.1,10.1
2010-2014,Belarus,Bilateral,618725726.58,30.3
2010-2014,Belarus,Multilateral,343892899.9,16.8
2010-2014,Belarus,Private,903567057.24,44.2
2010-2014,Belarus,China,178809685.8,8.7
2018-2022,Belarus,Bilateral,1210458395.18,33.6
2018-2022,Belarus,Multilateral,566082695.34,15.7
2018-2022,Belarus,Private,983878438.74,27.3
2018-2022,Belarus,China,842361626.96,23.4
2023-2025 (projected),Belarus,Bilateral,1656969407.2333336,42.4
2023-2025 (projected),Belarus,Multilateral,608175332.6999999,15.6
2023-2025 (projected),Belarus,Private,555012163.1,14.2
2023-2025 (projected),Belarus,China,1085813896.9,27.8
2010-2014,Belize,Bilateral,19607964.04,21.1
2010-2014,Belize,Multilateral,25883267.979999997,27.9
2010-2014,Belize,Private,47312780.6,51.0
2018-2022,Belize,Bilateral,14722243.540000001,7.8
2018-2022,Belize,Multilateral,45127691.06,24.0
2018-2022,Belize,Private,128055000.0,68.1
2023-2025 (projected),Belize,Bilateral,52151594.93333334,36.4
2023-2025 (projected),Belize,Multilateral,68821814.10000001,48.0
2023-2025 (projected),Belize,Private,22445689.566666663,15.7
2010-2014,Benin,Bilateral,3732241.4799999995,6.4
2010-2014,Benin,Multilateral,40594849.339999996,70.0
2010-2014,Benin,China,13641127.7,23.5
2018-2022,Benin,Bilateral,25274769.48,6.0
2018-2022,Benin,Multilateral,136030673.66,32.4
2018-2022,Benin,Private,244485848.98000002,58.3
2018-2022,Benin,China,13569275.580000002,3.2
2023-2025 (projected),Benin,Bilateral,99442608.06666668,12.6
2023-2025 (projected),Benin,Multilateral,237372270.13333336,30.2
2023-2025 (projected),Benin,Private,376972629.8,47.9
2023-2025 (projected),Benin,China,72752616.13333334,9.2
2010-2014,Bhutan,Bilateral,80141971.12,85.7
2010-2014,Bhutan,Multilateral,11469946.5,12.3
2010-2014,Bhutan,Private,1873923.7399999998,2.0
2018-2022,Bhutan,Bilateral,48219397.1,57.7
2018-2022,Bhutan,Multilateral,28720807.860000003,34.4
2018-2022,Bhutan,Private,6616349.4,7.9
2023-2025 (projected),Bhutan,Bilateral,213052688.1,80.3
2023-2025 (projected),Bhutan,Multilateral,46805573.23333333,17.6
2023-2025 (projected),Bhutan,Private,5620448.699999999,2.1
2010-2014,Bolivia,Bilateral,76268443.28,23.4
2010-2014,Bolivia,Multilateral,208007710.14000002,63.9
2010-2014,Bolivia,Private,33022277.860000003,10.1
2010-2014,Bolivia,China,8118958.840000001,2.5
2018-2022,Bolivia,Bilateral,14932118.52,1.5
2018-2022,Bolivia,Multilateral,606264725.96,62.0
2018-2022,Bolivia,Private,272608991.7,27.9
2018-2022,Bolivia,China,83651842.78,8.6
2023-2025 (projected),Bolivia,Bilateral,42756339.666666664,3.2
2023-2025 (projected),Bolivia,Multilateral,1022761428.7000002,75.6
2023-2025 (projected),Bolivia,Private,182080166.76666665,13.5
2023-2025 (projected),Bolivia,China,105098743.23333333,7.8
2010-2014,Bosnia and Herzegovina,Bilateral,37455651.08,15.1
2010-2014,Bosnia and Herzegovina,Multilateral,157888901.42,63.9
2010-2014,Bosnia and Herzegovina,Private,51929411.62,21.0
2018-2022,Bosnia and Herzegovina,Bilateral,83526925.25999999,18.5
2018-2022,Bosnia and Herzegovina,Multilateral,328573905.74,72.8
2018-2022,Bosnia and Herzegovina,Private,38948159.64,8.6
2023-2025 (projected),Bosnia and Herzegovina,Bilateral,108909833.3,16.6
2023-2025 (projected),Bosnia and Herzegovina,Multilateral,464292943.1333334,70.9
2023-2025 (projected),Bosnia and Herzegovina,Private,81298954.16666667,12.4
2010-2014,Botswana,Bilateral,7757221.4,8.7
2010-2014,Botswana,Multilateral,67746061.92,76.2
2010-2014,Botswana,Private,510666.6666666667,0.6
2010-2014,Botswana,China,12917904.26,14.5
2018-2022,Botswana,Bilateral,5845831.540000001,3.4
2018-2022,Botswana,Multilateral,152219679.16,89.2
2018-2022,Botswana,Private,6794000.0,4.0
2018-2022,Botswana,China,5858430.1,3.4
2023-2025 (projected),Botswana,Bilateral,3921916.433333333,1.7
2023-2025 (projected),Botswana,Multilateral,229597410.9,98.3
2010-2014,Brazil,Bilateral,641488318.1,3.8
2010-2014,Brazil,Multilateral,3922188886.4,23.4
2010-2014,Brazil,Private,11834819317.54,70.8
2010-2014,Brazil,China,329006800.0,2.0
2018-2022,Brazil,Bilateral,629169376.02,1.9
2018-2022,Brazil,Multilateral,3291133729.02,9.9
2018-2022,Brazil,Private,27388366003.0,82.1
2018-2022,Brazil,China,2053103000.0,6.2
2023-2025 (projected),Brazil,Bilateral,573805846.5333334,2.5
2023-2025 (projected),Brazil,Multilateral,4471056161.933333,19.8
2023-2025 (projected),Brazil,Private,16716378699.966667,73.9
2023-2025 (projected),Brazil,China,850244583.3333334,3.8
2010-2014,Bulgaria,Bilateral,91417139.8,12.5
2010-2014,Bulgaria,Multilateral,256760652.56000003,35.2
2010-2014,Bulgaria,Private,380637702.41999996,52.2
2018-2022,Bulgaria,Bilateral,47378819.4,5.7
2018-2022,Bulgaria,Multilateral,292692617.04,35.2
2018-2022,Bulgaria,Private,491586953.96000004,59.1
2023-2025 (projected),Bulgaria,Bilateral,13231800.033333333,0.7
2023-2025 (projected),Bulgaria,Multilateral,351224954.46666664,19.4
2023-2025 (projected),Bulgaria,Private,1447188287.1666667,79.9
2010-2014,Burkina Faso,Bilateral,15452918.5,22.7
2010-2014,Burkina Faso,Multilateral,42318002.8,62.3
2010-2014,Burkina Faso,Private,3727181.2,5.5
2010-2014,Burkina Faso,China,6428195.66,9.5
2018-2022,Burkina Faso,Bilateral,21021426.36,14.9
2018-2022,Burkina Faso,Multilateral,111908433.16,79.2
2018-2022,Burkina Faso,Private,2079362.1800000002,1.5
2018-2022,Burkina Faso,China,6331913.0600000005,4.5
2023-2025 (projected),Burkina Faso,Bilateral,48711228.133333325,13.3
2023-2025 (projected),Burkina Faso,Multilateral,268319560.33333334,73.1
2023-2025 (projected),Burkina Faso,Private,35392659.63333333,9.6
2023-2025 (projected),Burkina Faso,China,14423672.199999997,3.9
2010-2014,Burundi,Bilateral,1650351.44,15.0
2010-2014,Burundi,Multilateral,9344927.32,85.0
2018-2022,Burundi,Bilateral,3133628.48,17.1
2018-2022,Burundi,Multilateral,14517518.64,79.1
2018-2022,Burundi,China,707676.375,3.9
2023-2025 (projected),Burundi,Bilateral,17960462.033333335,31.2
2023-2025 (projected),Burundi,Multilateral,36647078.699999996,63.6
2023-2025 (projected),Burundi,China,3047637.3000000003,5.3
2010-2014,Cabo Verde,Bilateral,8296015.74,23.0
2010-2014,Cabo Verde,Multilateral,22430945.04,62.3
2010-2014,Cabo Verde,Private,4555901.779999999,12.7
2010-2014,Cabo Verde,China,730793.58,2.0
2018-2022,Cabo Verde,Bilateral,13570450.559999999,20.7
2018-2022,Cabo Verde,Multilateral,40737803.92,62.2
2018-2022,Cabo Verde,Private,9232283.34,14.1
2018-2022,Cabo Verde,China,1906742.7600000002,2.9
2023-2025 (projected),Cabo Verde,Bilateral,42154144.0,28.2
2023-2025 (projected),Cabo Verde,Multilateral,57280017.666666664,38.3
2023-2025 (projected),Cabo Verde,Private,45756593.46666667,30.6
2023-2025 (projected),Cabo Verde,China,4314150.600000001,2.9
2010-2014,Cambodia,Bilateral,15600354.040000001,16.4
2010-2014,Cambodia,Multilateral,57915959.94,61.0
2010-2014,Cambodia,China,21490418.36,22.6
2018-2022,Cambodia,Bilateral,36269805.14,10.1
2018-2022,Cambodia,Multilateral,104614987.36,29.1
2018-2022,Cambodia,China,218614068.95999998,60.8
2023-2025 (projected),Cambodia,Bilateral,220022290.23333335,30.6
2023-2025 (projected),Cambodia,Multilateral,177805954.5666667,24.7
2023-2025 (projected),Cambodia,China,321099606.86666673,44.7
2010-2014,Cameroon,Bilateral,130462679.54,60.1
2010-2014,Cameroon,Multilateral,50737730.9,23.4
2010-2014,Cameroon,Private,9831750.760000002,4.5
2010-2014,Cameroon,China,25963057.66,12.0
2018-2022,Cameroon,Bilateral,150771086.56,16.1
2018-2022,Cameroon,Multilateral,190567598.06,20.4
2018-2022,Cameroon,Private,295671289.58000004,31.6
2018-2022,Cameroon,China,298277302.56,31.9
2023-2025 (projected),Cameroon,Bilateral,207966073.13333333,12.0
2023-2025 (projected),Cameroon,Multilateral,586034993.6,33.7
2023-2025 (projected),Cameroon,Private,262598724.86666667,15.1
2023-2025 (projected),Cameroon,China,683276025.7333332,39.3
2010-2014,Central African Republic,Bilateral,1874204.2,44.1
2010-2014,Central African Republic,Multilateral,944714.4,22.2
2010-2014,Central African Republic,Private,934988.55,22.0
2010-2014,Central African Republic,China,496616.65,11.7
2018-2022,Central African Republic,Bilateral,1315859.78,9.7
2018-2022,Central African Republic,Multilateral,4849902.18,35.7
2018-2022,Central African Republic,Private,1406130.8666666665,10.3
2018-2022,Central African Republic,China,6016221.6,44.3
2023-2025 (projected),Central African Republic,Bilateral,13937695.733333332,56.6
2023-2025 (projected),Central African Republic,Multilateral,7414633.766666667,30.1
2023-2025 (projected),Central African Republic,China,3269345.4,13.3
2010-2014,Chad,Bilateral,25837493.32,14.0
2010-2014,Chad,Multilateral,62757138.120000005,34.1
2010-2014,Chad,Private,92249622.32000001,50.1
2010-2014,Chad,China,3288816.4,1.8
2018-2022,Chad,Bilateral,20328321.0,9.8
2018-2022,Chad,Multilateral,33265799.24,16.1
2018-2022,Chad,Private,134417000.0,65.1
2018-2022,Chad,China,18507945.24,9.0
2023-2025 (projected),Chad,Bilateral,83860468.56666666,20.7
2023-2025 (projected),Chad,Multilateral,136692525.63333333,33.8
2023-2025 (projected),Chad,Private,141306666.66666666,34.9
2023-2025 (projected),Chad,China,42586287.5,10.5
2010-2014,Colombia,Bilateral,117179242.52000001,2.5
2010-2014,Colombia,Multilateral,1638201780.4,34.8
2010-2014,Colombia,Private,2954348641.02,62.7
2018-2022,Colombia,Bilateral,624799782.9,6.5
2018-2022,Colombia,Multilateral,1870802335.28,19.5
2018-2022,Colombia,Private,7111146059.139999,74.0
2023-2025 (projected),Colombia,Bilateral,817009640.6333333,8.2
2023-2025 (projected),Colombia,Multilateral,2967587138.7666664,29.8
2023-2025 (projected),Colombia,Private,6158270825.733334,61.9
2010-2014,Comoros,Bilateral,379487.1,10.3
2010-2014,Comoros,Multilateral,3312996.56,89.7
2018-2022,Comoros,Bilateral,300417.35,12.0
2018-2022,Comoros,Multilateral,505747.7,20.1
2018-2022,Comoros,China,1704390.8800000001,67.9
2023-2025 (projected),Comoros,Bilateral,2687127.8333333335,8.7
2023-2025 (projected),Comoros,Multilateral,10856785.666666666,35.0
2023-2025 (projected),Comoros,Private,12176187.1,39.3
2023-2025 (projected),Comoros,China,5277759.533333334,17.0
2010-2014,Congo Republic,Bilateral,22972885.06,8.7
2010-2014,Congo Republic,Multilateral,18160865.78,6.8
2010-2014,Congo Republic,Private,112311243.04,42.4
2010-2014,Congo Republic,China,111681685.18000002,42.1
2018-2022,Congo Republic,Bilateral,49745763.480000004,8.8
2018-2022,Congo Republic,Multilateral,108439584.78,19.3
2018-2022,Congo Republic,Private,163880280.35999998,29.1
2018-2022,Congo Republic,China,240495879.35999998,42.8
2023-2025 (projected),Congo Republic,Bilateral,134847209.03333333,15.7
2023-2025 (projected),Congo Republic,Multilateral,108819615.7,12.6
2023-2025 (projected),Congo Republic,Private,281103593.43333334,32.7
2023-2025 (projected),Congo Republic,China,335578807.5,39.0
2010-2014,Costa Rica,Bilateral,49775880.12,5.1
2010-2014,Costa Rica,Multilateral,377011261.44,38.8
2010-2014,Costa Rica,Private,531244368.4,54.6
2010-2014,Costa Rica,China,14134000.0,1.5
2018-2022,Costa Rica,Bilateral,39371676.4,2.6
2018-2022,Costa Rica,Multilateral,554983497.04,36.5
2018-2022,Costa Rica,Private,922985000.0,60.7
2018-2022,Costa Rica,China,3025662.88,0.2
2023-2025 (projected),Costa Rica,Bilateral,27262014.066666666,1.4
2023-2025 (projected),Costa Rica,Multilateral,928673719.6666666,48.6
2023-2025 (projected),Costa Rica,Private,942621333.2999998,49.4
2023-2025 (projected),Costa Rica,China,10708151.0,0.6
2010-2014,Cote d'Ivoire,Bilateral,258533789.4,55.4
2010-2014,Cote d'Ivoire,Multilateral,99530403.86,21.3
2010-2014,Cote d'Ivoire,Private,101247816.7,21.7
2010-2014,Cote d'Ivoire,China,7506229.82,1.6
2018-2022,Cote d'Ivoire,Bilateral,360083586.71999997,21.6
2018-2022,Cote d'Ivoire,Multilateral,161754923.3,9.7
2018-2022,Cote d'Ivoire,Private,1060191169.1600001,63.5
2018-2022,Cote d'Ivoire,China,88025972.78,5.3
2023-2025 (projected),Cote d'Ivoire,Bilateral,424695047.0333333,13.7
2023-2025 (projected),Cote d'Ivoire,Multilateral,454330169.3666666,14.7
2023-2025 (projected),Cote d'Ivoire,Private,1852423005.0333335,60.0
2023-2025 (projected),Cote d'Ivoire,China,357858691.59999996,11.6
2010-2014,DR Congo,Bilateral,47083583.1,16.9
2010-2014,DR Congo,Multilateral,214706846.72000003,77.2
2010-2014,DR Congo,Private,6371764.0,2.3
2010-2014,DR Congo,China,9823833.7,3.5
2018-2022,DR Congo,Bilateral,35013286.98,7.4
2018-2022,DR Congo,Multilateral,322755152.88,68.0
2018-2022,DR Congo,Private,18261800.0,3.9
2018-2022,DR Congo,China,98282389.44,20.7
2023-2025 (projected),DR Congo,Bilateral,48011564.699999996,7.2
2023-2025 (projected),DR Congo,Multilateral,156906923.33333334,23.7
2023-2025 (projected),DR Congo,Private,24351566.700000003,3.7
2023-2025 (projected),DR Congo,China,433855922.5,65.4
2010-2014,Djibouti,Bilateral,7742732.339999999,21.3
2010-2014,Djibouti,Multilateral,20974151.98,57.7
2010-2014,Djibouti,Private,3356065.1799999997,9.2
2010-2014,Djibouti,China,4308922.779999999,11.8
2018-2022,Djibouti,Bilateral,5712976.74,10.3
2018-2022,Djibouti,Multilateral,33515016.0,60.5
2018-2022,Djibouti,China,16167201.62,29.2
2023-2025 (projected),Djibouti,Bilateral,34636713.333333336,11.9
2023-2025 (projected),Djibouti,Multilateral,61683923.5,21.1
2023-2025 (projected),Djibouti,China,195832514.30000004,67.0
2010-2014,Dominica,Bilateral,4087659.22,24.7
2010-2014,Dominica,Multilateral,8300220.82,50.1
2010-2014,Dominica,Private,3676515.8200000003,22.2
2010-2014,Dominica,China,507215.55,3.1
2018-2022,Dominica,Bilateral,4595757.68,18.1
2018-2022,Dominica,Multilateral,11672390.64,45.9
2018-2022,Dominica,Private,6426518.74,25.3
2018-2022,Dominica,China,2750631.74,10.8
2023-2025 (projected),Dominica,Bilateral,5880946.533333334,17.1
2023-2025 (projected),Dominica,Multilateral,15189492.266666668,44.2
2023-2025 (projected),Dominica,Private,9708258.933333334,28.3
2023-2025 (projected),Dominica,China,3572066.8666666667,10.4
2010-2014,Dominican Republic,Bilateral,308590543.5,23.1
2010-2014,Dominican Republic,Multilateral,379892104.5,28.4
2010-2014,Dominican Republic,Private,647346414.1800001,48.4
2010-2014,Dominican Republic,China,1038000.0,0.1
2018-2022,Dominican Republic,Bilateral,170751816.33999997,6.4
2018-2022,Dominican Republic,Multilateral,417911808.56,15.7
2018-2022,Dominican Republic,Private,2066379041.52,77.8
2018-2022,Dominican Republic,China,246548.6,0.0
2023-2025 (projected),Dominican Republic,Bilateral,194628407.53333333,6.0
2023-2025 (projected),Dominican Republic,Multilateral,774411840.4666667,24.1
2023-2025 (projected),Dominican Republic,Private,2250013987.233333,69.9
2023-2025 (projected),Dominican Republic,China,193416.66666666666,0.0
2010-2014,Ecuador,Bilateral,232716749.1,14.6
2010-2014,Ecuador,Multilateral,693071453.3,43.4
2010-2014,Ecuador,Private,154073460.14000002,9.6
2010-2014,Ecuador,China,518780448.0,32.5
2018-2022,Ecuador,Bilateral,337720249.94,7.4
2018-2022,Ecuador,Multilateral,1142083247.04,24.9
2018-2022,Ecuador,Private,1706741735.26,37.1
2018-2022,Ecuador,China,1407901289.6200001,30.6
2023-2025 (projected),Ecuador,Bilateral,172339001.56666666,4.6
2023-2025 (projected),Ecuador,Multilateral,1824302572.5,48.8
2023-2025 (projected),Ecuador,Private,816585907.5666666,21.9
2023-2025 (projected),Ecuador,China,921791871.8000001,24.7
2010-2014,Egypt,Bilateral,1868370413.94,50.3
2010-2014,Egypt,Multilateral,912901490.0799999,24.6
2010-2014,Egypt,Private,926582480.4200001,25.0
2010-2014,Egypt,China,5441428.96,0.1
2018-2022,Egypt,Bilateral,3531467033.5,30.0
2018-2022,Egypt,Multilateral,3172963293.0,27.0
2018-2022,Egypt,Private,4264790702.72,36.3
2018-2022,Egypt,China,789185748.48,6.7
2023-2025 (projected),Egypt,Bilateral,1895722921.6000001,12.2
2023-2025 (projected),Egypt,Multilateral,4553657905.8,29.2
2023-2025 (projected),Egypt,Private,8061858453.033333,51.7
2023-2025 (projected),Egypt,China,1071024595.6333332,6.9
2010-2014,El Salvador,Bilateral,51990883.9,5.9
2010-2014,El Salvador,Multilateral,472367318.14,53.5
2010-2014,El Salvador,Private,354408418.48,40.1
2010-2014,El Salvador,China,4387400.0,0.5
2018-2022,El Salvador,Bilateral,61625392.04,4.5
